mode,query_id,query_type,case_type,run_status,used_decomposition,paper_reranking_enabled,num_subproblems_run,num_returned_equipment,original_query,top1_equipment,top1_match_label,top1_match_score,best_match_score_any_rank,best_match_label_any_rank,strict_top1_correct,relaxed_top1_correct,strict_found_anywhere,relaxed_found_anywhere,error,ndcg_at_1,strict_top3_correct,relaxed_top3_correct,ndcg_at_3,strict_top5_correct,relaxed_top5_correct,ndcg_at_5
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,4,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",oxygen transmission rate tester,no_match,0.0,3.0,must_have_or_best_match,False,False,True,True,,0.0,True,True,0.5307212739772436,True,True,0.3835663673713356
direct_no_rerank_12papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,3,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",surface acoustic wave (SAW) microfluidic chip,no_match,0.0,0.0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct_no_rerank_12papers,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,False,1,1,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,atomic force microscope,must_have_or_best_match,3.0,3.0,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.6131471927654584,True,True,0.6131471927654584
direct_no_rerank_12papers,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,0,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",,no_equipment_returned,0.0,0.0,no_equipment_returned,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct_no_rerank_12papers,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,False,1,3,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",fluorescence polarization reader,must_have_or_best_match,3.0,3.0,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
direct_no_rerank_12papers,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,2,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",fluorescence molecular imaging surgical system,no_match,0.0,0.0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct_no_rerank_12papers,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,False,False,1,3,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,grazing-incidence wide-angle X-ray scattering,must_have_or_best_match,3.0,3.0,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.5450960508766485,True,True,0.3939554006123783
direct_no_rerank_12papers,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,3,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",atom probe tomography microscope,must_have_or_best_match,3.0,3.0,must_have_or_best_match,True,True,True,True,,1.0,True,True,1.0,True,True,0.7227265726449517
direct_no_rerank_12papers,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,3,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",oxygen transmission rate analyzer,no_match,0.0,0.0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
direct_no_rerank_12papers,small_vesicle_nanomech,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,2,I have submicrometer extracellular vesicles and small liposomes and need a physical instrument that can measure their stiffness or bending rigidity without relying on optical observation alone.,Atomic Force Microscope,must_have_or_best_match,3.0,3.0,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
