run_name,query_id,query_type,case_type,run_status,used_decomposition,paper_reranking_enabled,num_subproblems_run,num_returned_equipment,has_returned_equipment,num_evidence_quotes,num_supporting_papers,original_query,num_papers_attempted,num_papers_with_chunks,num_full_text_success,num_fallback_used,num_skipped,num_pdf_used,num_html_used,num_ar5iv_used,num_abstract_fallback_used,num_tldr_metadata_fallback_used,num_metadata_fallback_used,full_text_success_fraction,fallback_fraction,skipped_fraction,used_source_type_counts,fallback_source_type_counts,top1_equipment,top1_output_score,top1_match_label,best_output_score_any_rank,best_match_label_any_rank,error,match_scores,match_labels,matched_expected_names,ndcg_at_1,hit_at_1,strict_hit_at_1,must_have_recall_at_1,relevant_recall_at_1,clearly_not_suitable_at_1,ndcg_at_3,hit_at_3,strict_hit_at_3,must_have_recall_at_3,relevant_recall_at_3,clearly_not_suitable_at_3,ndcg_at_5,hit_at_5,strict_hit_at_5,must_have_recall_at_5,relevant_recall_at_5,clearly_not_suitable_at_5
decomposition_no_rerank_12papers_2workers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,True,False,4,14,True,30,24,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",46,46,10,36,0,7,0,0,25,2,9,0.21739130434782608,0.782608695652174,0.0,"{'metadata': 9, 'abstract': 25, 'pdf': 7, 'publisher_html': 3, 'tldr_metadata': 2}","{'metadata': 9, 'abstract': 25, 'tldr_metadata': 2}",scanning electron microscope,0,no_match,3,must_have,,"[0, 0, 3, 0, 2, 0, 0, 1, 0, 0, 3, 0, 0, 0]","['no_match', 'no_match', 'must_have', 'no_match', 'acceptable_alternatives', 'no_match', 'no_match', 'supporting_but_not_ideal', 'no_match', 'no_match', 'best_match', 'no_match', 'no_match', 'no_match']","[None, None, 'haze meter', None, 'spectrophotometer', None, None, 'differential scanning calorimeter', None, None, 'water vapor transmission rate tester', None, None, None]",0.0,False,False,0.0,0.0,False,0.23463936301137825,True,True,0.2,0.1111111111111111,False,0.2258108501420974,True,True,0.2,0.2222222222222222,False
decomposition_rerank_10papers_2workers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,True,True,4,8,True,14,13,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",40,40,12,28,0,10,0,0,28,0,0,0.3,0.7,0.0,"{'abstract': 28, 'pdf': 10, 'publisher_html': 2}",{'abstract': 28},CIELAB color measurement system,0,no_match,3,must_have,,"[0, 3, 3, 2, 3, 0, 0, 0]","['no_match', 'must_have', 'must_have', 'acceptable_alternatives', 'must_have', 'no_match', 'no_match', 'no_match']","[None, 'haze meter', 'gas permeability tester', 'spectrophotometer', 'gas permeability tester', None, None, None]",0.0,False,False,0.0,0.0,False,0.5307212739772436,True,True,0.4,0.2222222222222222,False,0.5773721662448373,True,True,0.4,0.3333333333333333,False
direct_no_rerank_12papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,4,True,7,4,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",12,12,2,10,0,0,0,0,4,0,6,0.16666666666666666,0.8333333333333334,0.0,"{'metadata': 6, 'abstract': 4, 'publisher_html': 2}","{'metadata': 6, 'abstract': 4}",oxygen transmission rate tester,0,no_match,3,best_match,,"[0, 3, 3, 0]","['no_match', 'best_match', 'must_have', 'no_match']","[None, 'water vapor transmission rate tester', 'haze meter', None]",0.0,False,False,0.0,0.0,False,0.5307212739772436,True,True,0.2,0.2222222222222222,False,0.3835663673713356,True,True,0.2,0.2222222222222222,False
direct_rerank_10papers,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,True,1,4,True,8,8,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",10,10,0,10,0,0,0,0,9,0,1,0.0,1.0,0.0,"{'abstract': 9, 'metadata': 1}","{'abstract': 9, 'metadata': 1}",oxygen transmission rate tester,0,no_match,3,must_have,,"[0, 3, 3, 2]","['no_match', 'must_have', 'must_have', 'acceptable_alternatives']","[None, 'gas permeability tester', 'haze meter', 'spectrophotometer']",0.0,False,False,0.0,0.0,False,0.5307212739772436,True,True,0.4,0.2222222222222222,False,0.4461670887324955,True,True,0.4,0.3333333333333333,False
decomposition_no_rerank_12papers_2workers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,True,False,4,17,True,33,21,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",46,46,12,34,0,11,0,0,30,1,3,0.2608695652173913,0.7391304347826086,0.0,"{'abstract': 30, 'pdf': 11, 'metadata': 3, 'publisher_html': 1, 'tldr_metadata': 1}","{'abstract': 30, 'metadata': 3, 'tldr_metadata': 1}",microfluidic chip,0,no_match,3,must_have,,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'must_have', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match', 'no_match']","[None, None, None, None, None, 'surface acoustic wave (SAW) microfluidic device', None, None, None, None, None, None, None, None, None, None, None]",0.0,False,False,0.0,0.0,False,0.0,False,False,0.0,0.0,False,0.0,False,False,0.0,0.0,False
decomposition_rerank_10papers_2workers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,True,1,6,True,12,6,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",10,10,0,10,0,0,0,0,10,0,0,0.0,1.0,0.0,{'abstract': 10},{'abstract': 10},standing surface acoustic wave (SSAW) microfluidic device,3,must_have,3,must_have,,"[3, 3, 0, 0, 0, 0]","['must_have', 'must_have', 'no_match', 'no_match', 'no_match', 'no_match']","['surface acoustic wave (SAW) microfluidic device', 'surface acoustic wave (SAW) microfluidic device', None, None, None, None]",1.0,True,True,0.3333333333333333,0.125,False,0.7653606369886218,True,True,0.3333333333333333,0.125,False,0.5531464700081437,True,True,0.3333333333333333,0.125,False
direct_no_rerank_12papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,3,True,6,4,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",12,12,4,8,0,2,0,0,7,0,1,0.3333333333333333,0.6666666666666666,0.0,"{'abstract': 7, 'publisher_html': 2, 'pdf': 2, 'metadata': 1}","{'abstract': 7, 'metadata': 1}",surface acoustic wave (SAW) microfluidic chip,3,must_have,3,must_have,,"[3, 3, 3]","['must_have', 'best_match', 'must_have']","['surface acoustic wave (SAW) microfluidic device', 'surface acoustic wave microfluidic device', 'ultrasonic standing-wave microfluidic system']",1.0,True,True,0.3333333333333333,0.125,False,1.0,True,True,0.6666666666666666,0.375,False,0.7227265726449517,True,True,0.6666666666666666,0.375,False
direct_rerank_10papers,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,True,1,5,True,10,7,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",10,10,1,9,0,1,0,0,9,0,0,0.1,0.9,0.0,"{'abstract': 9, 'pdf': 1}",{'abstract': 9},optical tweezers,0,no_match,3,must_have,,"[0, 3, 3, 0, 0]","['no_match', 'must_have', 'must_have', 'no_match', 'no_match']","[None, 'surface acoustic wave (SAW) microfluidic device', 'surface acoustic wave (SAW) microfluidic device', None, None]",0.0,False,False,0.0,0.0,False,0.5307212739772436,True,True,0.3333333333333333,0.125,False,0.3835663673713356,True,True,0.3333333333333333,0.125,False
decomposition_no_rerank_12papers_2workers,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,False,1,1,True,2,1,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,9,9,0,9,0,0,0,0,7,0,2,0.0,1.0,0.0,"{'abstract': 7, 'metadata': 2}","{'abstract': 7, 'metadata': 2}",atomic force microscope,3,must_have,3,must_have,,[3],['must_have'],['atomic force microscope'],1.0,True,True,0.3333333333333333,0.3333333333333333,False,0.4692787260227565,True,True,0.3333333333333333,0.3333333333333333,False,0.4692787260227565,True,True,0.3333333333333333,0.3333333333333333,False
decomposition_rerank_10papers_2workers,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,True,1,2,True,4,2,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,10,10,3,7,0,2,0,0,7,0,0,0.3,0.7,0.0,"{'pdf': 2, 'abstract': 7, 'publisher_html': 1}",{'abstract': 7},atomic force microscope,3,must_have,3,must_have,,"[3, 0]","['must_have', 'no_match']","['atomic force microscope', None]",1.0,True,True,0.3333333333333333,0.3333333333333333,False,0.4692787260227565,True,True,0.3333333333333333,0.3333333333333333,False,0.4692787260227565,True,True,0.3333333333333333,0.3333333333333333,False
