system,query_id,query_type,ndcg_at_3,hit_at_3,must_have_recall_at_3,fallback_fraction,full_text_success_fraction,num_papers_attempted,num_fallback_used,num_full_text_success,num_evidence_quotes,num_supporting_papers
LLM-only,1d_tsc_verification,broad_diagnostic,1.0,True,0.5,,,,,,0,0
LLM-only,2d_edge_modes,broad_diagnostic,0.7653606369886218,True,0.5,,,,,,0,0
LLM-only,2des-cross-pol,specific,0.4692787260227565,True,0.25,,,,,,0,0
LLM-only,2des-lh2-instrument,specific,0.4692787260227565,True,0.125,,,,,,0,0
LLM-only,2des_77k_lhcii,specific,0.511576141875023,True,0.25,,,,,,0,0
LLM-only,2des_psii_supercomplex,specific,0.511576141875023,True,0.25,,,,,,0,0
LLM-only,ALD-SiO2-GeO2-multilayer,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,K-bir_local_structure_imaging,specific,0.596170973579556,True,0.25,,,,,,0,0
LLM-only,P1,specific,0.7653606369886218,True,0.5,,,,,,0,0
LLM-only,PEF_processing_crystallization,process_optimization,0.596170973579556,True,0.3333333333333333,,,,,,0,0
LLM-only,PL_cryostat_setup,specific,0.2960819109658653,True,0.3333333333333333,,,,,,0,0
LLM-only,Q1,specific,0.7653606369886218,True,0.5,,,,,,0,0
LLM-only,SWNT-FET-electrical-probing,specific,1.0,True,0.5,,,,,,0,0
LLM-only,UVVIS-RM-001,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,XPS-Li-site-assignment,specific,0.0,False,0.0,,,,,,0,0
LLM-only,abh2022_rheometer,specific,1.0,True,0.0,,,,,,0,0
LLM-only,absorbance_to_energy,method_selection,1.0,True,0.2857142857142857,,,,,,0,0
LLM-only,afm-virus-nanoindentation,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,afm_bladecoated_npl_film_morphology,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,afm_hsafm_membrane_domain_dissolution,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,afm_vesicle_nanoindentation,specific,0.4692787260227565,True,0.25,,,,,,0,0
LLM-only,amorphous_assembly_structure,broad_diagnostic,0.8659203639934981,True,0.3333333333333333,,,,,,0,0
LLM-only,ams2022-geometry-dft-eda-td-dft,specific,0.0,False,0.0,,,,,,0,0
LLM-only,antifouling_02,method_selection,0.39664163797074165,True,0.0,,,,,,0,0
LLM-only,antifouling_03,process_optimization,1.0,True,0.0,,,,,,0,0
LLM-only,artificial_cilia_flow_generation,broad_diagnostic,1.0,True,0.3333333333333333,,,,,,0,0
LLM-only,artificial_cilia_flow_sensing,method_selection,0.0,False,0.0,,,,,,0,0
LLM-only,artificial_cilia_particle_manipulation,method_selection,0.7653606369886218,True,0.0,,,,,,0,0
LLM-only,artificial_cilia_self_cleaning,method_selection,0.0,False,0.0,,,,,,0,0
LLM-only,asc_power_meter,specific,0.16041215655842486,True,0.0,,,,,,0,0
LLM-only,azo-lc-wave-setup,specific,0.0,False,0.0,,,,,,0,0
LLM-only,b1_stem_haadf,specific,0.7462155048864012,True,0.5,,,,,,0,0
LLM-only,bfo_he_implant_setup,specific,0.7653606369886218,True,0.25,,,,,,0,0
LLM-only,bhmf-rheology-setup,specific,1.0,True,0.3333333333333333,,,,,,0,0
LLM-only,bi te br sample screening,specific,0.5307212739772436,True,0.2,,,,,,0,0
LLM-only,blade_coater_quasi2d_pbsn_perovskite,specific,0.596170973579556,True,0.3333333333333333,,,,,,0,0
LLM-only,bto-pfm-001,specific,0.5450960508766485,True,0.3333333333333333,,,,,,0,0
LLM-only,btx-gel-uvvis-switching,specific,0.596170973579556,True,0.25,,,,,,0,0
LLM-only,c1_thermal_shift_assay,specific,0.2960819109658653,True,0.25,,,,,,0,0
LLM-only,c_afm_nno_conduction_inhomogeneity,specific,0.4692787260227565,True,0.25,,,,,,0,0
LLM-only,caTiO3_pe_loops,specific,0.2709710647400135,True,0.0,,,,,,0,0
LLM-only,ca_hfo2_ferroelectric_test,specific,0.7988805459902473,True,0.3333333333333333,,,,,,0,0
LLM-only,ca_hfo2_xrd_setup,specific,0.7653606369886218,True,0.25,,,,,,0,0
LLM-only,ca_sb2_torque_oscillations,specific,0.0,False,0.0,,,,,,0,0
LLM-only,caferite_magnetism_local,specific,0.45453820448088517,True,0.5,,,,,,0,0
LLM-only,cafm_destripe_method,method_selection,0.0,False,0.0,,,,,,0,0
LLM-only,cafm_destriping,broad_diagnostic,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,cafm_lrr_optimization,process_optimization,0.0,False,0.0,,,,,,0,0
LLM-only,calb_polycondensation_setup,specific,0.2960819109658653,True,0.14285714285714285,,,,,,0,0
LLM-only,camphoric_acid_polyester_structure_id,specific,0.5027986350243819,True,0.3333333333333333,,,,,,0,0
LLM-only,cb-sn3-h2-rfa,specific,0.23463936301137825,True,0.2,,,,,,0,0
LLM-only,cbx-rfa-crossed-beam,specific,0.2960819109658653,True,0.0,,,,,,0,0
LLM-only,cd-spectrometer-amm-chirality,specific,0.7039180890341348,True,0.5,,,,,,0,0
LLM-only,chem202002810_scxrd,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,chlorosome-2des-setup,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,chlorosome_structure_imaging,specific,0.04229741585226647,False,0.0,,,,,,0,0
LLM-only,chromatin-labeling-setup,method_selection,0.5450960508766485,True,1.0,,,,,,0,0
LLM-only,chromatin-srm-method,method_selection,0.7988805459902473,True,0.3333333333333333,,,,,,0,0
LLM-only,cid-uvvis-001,specific,0.7039180890341348,True,0.5,,,,,,0,0
LLM-only,cilia_setup_001,specific,0.4692787260227565,True,0.25,,,,,,0,0
LLM-only,clsm_perovskite_heterogeneity,specific,0.0,False,0.0,,,,,,0,0
LLM-only,cms-detection-chain,specific,0.4692787260227565,True,1.0,,,,,,0,0
LLM-only,co-pix-nexams-01,specific,0.23463936301137825,True,0.0,,,,,,0,0
LLM-only,cognigr1_asic,specific,0.0,False,0.0,,,,,,0,0
LLM-only,combo-saxs-waxs-dsc-raman-linkam,specific,0.0,False,0.0,,,,,,0,0
LLM-only,condensate_terahertz,method_selection,0.0,False,0.0,,,,,,0,0
LLM-only,conformer_selection_ims,method_selection,0.0,False,0.0,,,,,,0,0
LLM-only,contact-angle-system-wettability,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,controlled_release_screening,method_selection,0.23463936301137825,True,0.0,,,,,,0,0
LLM-only,cr-ethene-trimerization-xas-epr,specific,0.7039180890341348,True,0.3333333333333333,,,,,,0,0
LLM-only,cr_activation_xband_epr,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,crbr3_nladmr_lockin,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,crenarchaeol-nmr,specific,0.4692787260227565,True,0.14285714285714285,,,,,,0,0
LLM-only,cryo-tem-c8s3,specific,0.6296908825811814,True,0.3333333333333333,,,,,,0,0
LLM-only,cryo_em_chmp2a_chmp3_tubes,specific,0.7462155048864012,True,0.2,,,,,,0,0
LLM-only,cryogenic-ion-trap-soft-xray-nexams,specific,0.1268922475567994,True,0.0,,,,,,0,0
LLM-only,cryotem_micelle_core_imaging,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,csnbr3_saxs_gixs,specific,0.3788012330069363,True,0.0,,,,,,0,0
LLM-only,ctocd-dz-sysmo,specific,0.06703981800325093,False,0.0,,,,,,0,0
LLM-only,cu2oseo3_absolute_structure,specific,1.0,True,0.3333333333333333,,,,,,0,0
LLM-only,cuaac-operando-xas,specific,0.4692787260227565,True,0.16666666666666666,,,,,,0,0
LLM-only,cui-kpfm-01,specific,0.7653606369886218,True,0.2,,,,,,0,0
LLM-only,cv-potentiostat,specific,0.541942129480027,True,0.5,,,,,,0,0
LLM-only,cx_tof_spectrometer,specific,0.23463936301137825,True,0.5,,,,,,0,0
LLM-only,cytc_ssnmr_setup,specific,0.596170973579556,True,0.25,,,,,,0,0
LLM-only,d0ta10277f_giwaxs,specific,0.511576141875023,True,0.3333333333333333,,,,,,0,0
LLM-only,d1nh00514f_tcspp,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,d2sm00088a-dls-setup,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,d4nr01524j_tpd,specific,0.2960819109658653,True,0.25,,,,,,0,0
LLM-only,d4tb02760d_dls_gpm,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
LLM-only,d5lc00186b-eq1,specific,0.0,False,0.0,,,,,,0,0
LLM-only,deflector-tds-001,specific,0.4692787260227565,True,0.2,,,,,,0,0
LLM-only,dlp-printer-setup-01,specific,0.4692787260227565,True,0.3333333333333333,,,,,,0,0
